name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Erik Pieters,4.0,50.0,71.0,0.66,0.0,0.0,61.0,106.0,48.0,1.0,154.0,159.0,157.0,9.0,53.0,46.0,0.0,1.0,1.0,1000.0,32.26,3.0,64.0,0.2,0.0,53.0,5.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0
 Davinson Sánchez,13.0,21.0,38.0,0.63,0.0,3.0,38.0,159.0,81.0,0.0,164.0,138.0,111.0,9.0,73.0,62.0,1.0,0.0,0.0,1867.0,60.23,0.0,3.0,0.33,0.0,121.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
 James Tarkowski,11.0,30.0,46.0,0.57,0.0,3.0,50.0,219.0,143.0,0.0,127.0,225.0,113.0,11.0,147.0,62.0,0.0,0.0,0.0,1091.0,35.19,1.0,4.0,0.5,0.0,119.0,5.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0
 Antonio Valencia,14.0,22.0,57.0,0.56,0.0,9.0,48.0,60.0,25.0,0.0,188.0,128.0,119.0,29.0,22.0,25.0,0.0,0.0,1.0,1602.0,51.68,1.0,79.0,0.18,3.0,75.0,7.0,0.0,38.0,4.0,3.0,0.0,2.0,1.0,0.0
 Federico Fernández,7.0,44.0,40.0,0.73,0.0,2.0,38.0,198.0,123.0,0.0,129.0,134.0,105.0,1.0,72.0,63.0,1.0,0.0,1.0,1210.0,40.33,1.0,4.0,0.25,0.0,93.0,5.0,0.0,29.0,2.0,1.0,1.0,0.0,0.0,0.0
 Michael Keane,7.0,46.0,33.0,0.76,0.0,2.0,53.0,206.0,146.0,0.0,138.0,178.0,133.0,7.0,129.0,87.0,0.0,0.0,1.0,1157.0,38.57,2.0,4.0,0.25,0.0,96.0,3.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0
 Ashley Young,7.0,26.0,53.0,0.6,0.0,10.0,57.0,72.0,36.0,1.0,168.0,136.0,120.0,29.0,19.0,21.0,0.0,0.0,4.0,1285.0,42.83,5.0,121.0,0.28,2.0,95.0,7.0,0.0,29.0,1.0,2.0,0.0,2.0,0.0,1.0
 Ben Davies,12.0,20.0,47.0,0.7,0.0,4.0,28.0,62.0,33.0,0.0,110.0,132.0,118.0,15.0,45.0,50.0,0.0,0.0,6.0,1304.0,44.97,5.0,149.0,0.23,0.0,47.0,3.0,0.0,24.0,0.0,2.0,0.0,1.0,1.0,0.0
 Dejan Lovren,10.0,24.0,26.0,0.65,0.0,4.0,38.0,142.0,86.0,0.0,107.0,136.0,85.0,0.0,104.0,60.0,0.0,1.0,1.0,1803.0,62.17,1.0,4.0,0.5,0.0,91.0,4.0,0.0,15.0,1.0,2.0,2.0,0.0,0.0,0.0
 Ben Mee,9.0,27.0,33.0,0.61,2.0,4.0,33.0,208.0,138.0,2.0,153.0,178.0,108.0,3.0,117.0,78.0,0.0,1.0,0.0,1071.0,36.93,0.0,3.0,0.0,0.0,113.0,5.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
 Allan Nyom,7.0,40.0,64.0,0.61,0.0,1.0,27.0,83.0,47.0,0.0,147.0,115.0,90.0,10.0,22.0,19.0,0.0,0.0,1.0,753.0,25.97,2.0,88.0,0.26,0.0,37.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
