,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions_y,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
52,Etienne Capoue,Watford,78,CDM,60.0,65,55,64.0,68,62,68,52,73,61,63.5,70,61,30,75,79,66,74,49,55,74,78,0,75.6,70,74,75,80,79,80.0,77,74,92,77,7.0,0.19,1.0,3.0,3.0,0.0,0.0,50.0,19.0,0.38,0.0,3.0,1.0,1483.0,40.08,0.0,78.0,0.41,2.0,89.0,5.0,0.0,51.0,1.0,61.0,0.69,10.0,59.0,25.0,9.0,178.0,173.0,196.0,34.0,33.0,35.0,1.0
53,Idrissa Gueye,Everton,78,CM,75.0,75,75,58.33333333,67,50,67,54,80,32,60.5,60,33,43,74,81,72,75,75,80,79,81,0,79.0,69,87,78,81,80,80.25,80,80,88,73,1.0,0.03,0.0,1.0,0.0,0.0,0.0,25.0,6.0,0.24,1.0,2.0,1.0,1885.0,57.12,2.0,12.0,0.33,1.0,97.0,11.0,0.0,51.0,0.0,135.0,0.73,10.0,81.0,39.0,15.0,245.0,246.0,166.0,27.0,32.0,19.0,0.0
54,Gokhan Tore,West Ham United,78,RM,85.5,85,86,71.33333333,67,66,76,70,79,70,75.16666667,78,77,70,77,75,74,84,83,80,83,68,0,39.2,59,43,24,38,32,71.25,83,58,67,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,56.0,11.2,1.0,13.0,0.31,1.0,1.0,0.0,0.0,4.0,1.0,4.0,0.75,1.0,0.0,0.0,0.0,7.0,8.0,21.0,3.0,0.0,4.0,0.0
55,Aaron Lennon,Everton,78,RM,86.5,87,86,65.16666667,71,69,57,62,64,68,66.5,78,63,55,54,76,73,84,93,92,81,74,0,36.8,28,42,40,37,37,67.0,57,71,81,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,134.0,12.18,1.0,11.0,0.18,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.92,3.0,3.0,9.0,1.0,25.0,19.0,17.0,3.0,0.0,5.0,0.0
56,Mark Noble,West Ham United,78,CM,51.5,51,52,70.66666667,64,61,68,88,74,69,74.83333333,71,71,67,79,81,80,74,66,74,77,73,0,70.8,62,76,65,75,76,75.25,81,59,90,71,3.0,0.1,0.0,3.0,0.0,1.0,1.0,25.0,7.0,0.28,3.0,1.0,0.0,1435.0,47.83,1.0,20.0,0.15,3.0,126.0,10.0,0.0,27.0,0.0,49.0,0.61,5.0,37.0,11.0,7.0,182.0,109.0,107.0,15.0,3.0,8.0,0.0
57,Steven Defour, Burnley,78,CM,68.5,71,66,70.33333333,72,66,75,69,76,64,75.5,72,70,73,78,80,80,74,74,78,78,78,0,72.4,62,81,74,74,71,72.5,81,71,72,66,1.0,0.05,0.0,1.0,0.0,0.0,0.0,8.0,6.0,0.75,0.0,1.0,3.0,518.0,24.67,0.0,68.0,0.34,1.0,44.0,1.0,0.0,14.0,2.0,19.0,0.79,2.0,32.0,11.0,1.0,91.0,42.0,56.0,14.0,1.0,10.0,0.0
58,Nacer Chadli,West Bromwich Albion,78,LM,77.0,76,78,76.5,77,76,76,76,81,73,75.16666667,75,77,78,68,77,76,83,65,54,80,75,0,47.8,67,43,37,48,44,73.0,59,71,79,83,5.0,0.16,0.0,3.0,2.0,1.0,0.0,47.0,18.0,0.38,2.0,4.0,5.0,662.0,21.35,6.0,57.0,0.35,6.0,23.0,2.0,0.0,17.0,3.0,29.0,0.69,8.0,22.0,10.0,2.0,106.0,82.0,139.0,20.0,19.0,31.0,0.0
59,James McArthur,Crystal Palace,78,CDM,65.5,67,64,61.83333333,71,56,61,67,65,51,67.66666667,66,54,61,76,78,71,66,75,78,79,77,0,72.4,66,78,74,74,70,76.25,84,61,87,73,5.0,0.17,3.0,1.0,1.0,0.0,0.0,23.0,6.0,0.26,0.0,0.0,3.0,854.0,29.45,3.0,26.0,0.31,4.0,42.0,5.0,0.0,41.0,4.0,59.0,0.75,6.0,26.0,24.0,8.0,139.0,134.0,158.0,18.0,32.0,41.0,0.0
60,Jefferson Montero,Swansea City,78,LM,90.5,91,90,69.0,73,65,68,68,76,64,71.83333333,74,76,64,70,74,73,83,84,85,80,70,0,31.4,50,25,24,38,20,64.0,40,69,79,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,1.0,94.0,7.23,2.0,38.0,0.24,0.0,2.0,0.0,0.0,1.0,2.0,7.0,0.71,3.0,1.0,2.0,2.0,19.0,38.0,35.0,21.0,1.0,3.0,0.0
61,Joe Allen,Stoke City,78,CM,65.0,67,63,57.33333333,69,62,60,52,63,38,67.83333333,68,58,50,75,84,72,77,79,91,77,82,0,64.0,44,76,60,74,66,72.5,70,78,86,56,6.0,0.17,1.0,2.0,3.0,0.0,0.0,40.0,18.0,0.45,0.0,3.0,2.0,1286.0,35.72,7.0,51.0,0.27,9.0,47.0,9.0,0.0,27.0,0.0,86.0,0.58,9.0,62.0,34.0,12.0,235.0,201.0,205.0,36.0,22.0,52.0,0.0
62,Fabian Delph,Manchester City,78,CM,78.0,79,77,68.5,71,63,73,65,80,59,69.5,69,72,48,76,80,72,83,89,86,79,72,0,67.0,53,75,63,73,71,76.75,82,72,89,64,1.0,0.14,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.33,0.0,0.0,0.0,225.0,32.14,1.0,1.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,7.0,0.43,1.0,7.0,4.0,1.0,17.0,18.0,15.0,2.0,4.0,3.0,0.0
63,Andros Townsend,Crystal Palace,77,RM,85.5,86,85,74.33333333,70,74,78,83,82,59,72.33333333,77,68,76,67,75,71,82,80,71,78,69,0,32.2,52,21,32,29,27,54.25,43,48,69,57,3.0,0.08,0.0,2.0,1.0,0.0,0.0,56.0,13.0,0.23,1.0,2.0,4.0,685.0,19.03,8.0,236.0,0.25,1.0,15.0,4.0,0.0,18.0,3.0,77.0,0.81,22.0,43.0,19.0,6.0,160.0,182.0,199.0,67.0,3.0,13.0,0.0
64,Tom Cleverley,Everton,77,LM,70.0,66,74,71.16666667,74,64,75,72,74,68,72.5,74,59,62,80,83,77,79,72,77,80,77,0,53.6,48,65,47,59,49,65.5,71,62,73,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.4,1.0,1.0,2.0,857.0,31.74,2.0,60.0,0.27,2.0,41.0,4.0,0.0,23.0,0.0,42.0,0.74,1.0,31.0,21.0,6.0,107.0,65.0,104.0,8.0,4.0,21.0,0.0
65,Glenn Whelan,Stoke City,77,CDM,42.5,32,53,64.5,61,65,67,65,70,59,71.5,71,70,75,70,77,66,66,69,66,73,78,0,73.0,64,80,74,76,71,76.0,82,68,79,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.17,0.0,0.0,1.0,1408.0,46.93,1.0,24.0,0.38,1.0,111.0,5.0,0.0,18.0,0.0,46.0,0.59,2.0,37.0,47.0,18.0,172.0,100.0,97.0,9.0,27.0,18.0,0.0
66,Steven Davis,Southampton,77,CM,67.0,67,67,63.0,68,58,63,62,63,64,74.83333333,75,73,69,77,80,75,76,79,76,77,80,0,64.8,53,67,66,71,67,77.25,74,82,86,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.0,0.19,1.0,2.0,3.0,1716.0,53.63,2.0,69.0,0.14,9.0,114.0,3.0,0.0,18.0,1.0,54.0,0.72,11.0,23.0,45.0,25.0,216.0,98.0,132.0,20.0,11.0,29.0,0.0
67,Jason Puncheon,Crystal Palace,77,CAM,76.5,77,76,74.16666667,76,73,75,73,77,71,76.83333333,79,76,78,74,75,79,80,76,79,76,72,0,39.2,41,32,36,49,38,68.25,62,73,70,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,11.0,0.24,0.0,0.0,5.0,1468.0,40.78,5.0,147.0,0.32,2.0,78.0,9.0,0.0,62.0,1.0,74.0,0.81,14.0,37.0,36.0,17.0,255.0,175.0,179.0,38.0,26.0,14.0,2.0
68,Jordy Clasie,Southampton,77,CDM,66.5,68,65,62.66666667,65,26,71,64,77,73,77.0,70,80,70,78,81,83,70,75,90,80,79,0,61.0,27,80,64,73,61,71.5,85,56,76,69,1.0,0.06,0.0,1.0,0.0,0.0,0.0,12.0,4.0,0.33,0.0,0.0,1.0,623.0,38.94,0.0,9.0,0.22,0.0,34.0,3.0,0.0,14.0,0.0,18.0,0.56,3.0,14.0,9.0,2.0,66.0,31.0,55.0,1.0,6.0,16.0,0.0
69,Marouane Fellaini,Manchester United,77,CM,54.5,54,55,71.5,77,70,72,64,75,71,64.33333333,61,62,46,66,77,74,72,50,52,81,78,0,77.2,91,76,75,76,68,83.75,94,65,84,92,1.0,0.04,1.0,0.0,0.0,0.0,0.0,23.0,7.0,0.3,1.0,2.0,0.0,1057.0,37.75,0.0,4.0,0.0,1.0,25.0,9.0,1.0,41.0,3.0,55.0,0.73,5.0,30.0,52.0,38.0,139.0,184.0,130.0,15.0,94.0,29.0,0.0
70,Nathan Dyer,Swansea City,77,RM,90.0,92,88,70.0,74,75,74,70,75,52,61.5,64,58,42,65,74,66,80,86,95,78,67,0,38.6,32,35,33,45,48,69.75,69,70,84,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.33,0.0,0.0,1.0,102.0,12.75,0.0,6.0,0.33,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.67,1.0,3.0,1.0,1.0,16.0,16.0,20.0,5.0,1.0,2.0,0.0
71,Georges-Kevin Nkoudou,Tottenham Hotspur,77,LM,92.0,92,92,72.33333333,76,71,74,67,72,74,68.5,74,74,58,62,74,69,79,85,88,76,77,0,36.8,49,21,35,37,42,59.75,48,55,72,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,30.0,3.75,0.0,7.0,0.14,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,10.0,9.0,7.0,0.0,0.0,0.0
72,Mohamed Elneny,Arsenal,77,CDM,62.5,61,64,60.0,63,58,67,62,71,39,69.83333333,67,69,61,73,78,71,68,67,62,76,73,0,70.6,57,76,72,76,72,77.5,74,71,92,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.13,0.0,0.0,1.0,616.0,44.0,0.0,8.0,0.25,0.0,21.0,1.0,0.0,10.0,0.0,22.0,0.59,5.0,8.0,5.0,2.0,41.0,35.0,28.0,3.0,5.0,5.0,0.0
73,Jesse Lingard,Manchester United,77,RM,83.5,85,82,69.16666667,76,70,69,65,71,64,68.83333333,71,72,56,65,75,74,78,84,84,80,76,0,49.4,61,47,49,49,41,65.0,60,65,81,54,1.0,0.04,0.0,1.0,0.0,0.0,0.0,37.0,13.0,0.35,2.0,4.0,2.0,727.0,29.08,6.0,25.0,0.28,11.0,17.0,3.0,0.0,26.0,4.0,17.0,0.76,12.0,14.0,8.0,2.0,56.0,62.0,94.0,21.0,5.0,15.0,0.0
74,Nampalys Mendy,Leicester City,77,CDM,74.0,75,73,54.66666667,55,49,64,55,62,43,67.5,67,69,48,71,81,69,70,80,83,78,73,0,73.4,65,76,75,76,75,79.5,79,79,85,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,23.75,0.0,1.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,2.0,0.5,0.0,5.0,2.0,1.0,12.0,18.0,17.0,4.0,4.0,4.0,0.0
75,Valon Behrami,Watford,77,CDM,66.5,66,67,67.5,63,56,69,72,76,69,71.33333333,69,70,69,72,75,73,69,71,68,74,77,0,73.6,68,75,69,78,78,79.25,90,70,80,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,732.0,27.11,1.0,3.0,0.33,1.0,27.0,7.0,0.0,30.0,0.0,73.0,0.75,0.0,33.0,22.0,7.0,120.0,139.0,103.0,6.0,20.0,14.0,0.0
76,Cheikhou Kouyate,West Ham United,77,CDM,77.0,75,79,62.0,72,65,59,52,74,50,55.83333333,54,39,47,64,68,63,68,65,60,73,79,0,77.4,80,81,70,81,75,85.0,84,78,92,86,1.0,0.03,0.0,1.0,0.0,0.0,0.0,21.0,4.0,0.19,1.0,0.0,0.0,1071.0,34.55,0.0,15.0,0.2,0.0,42.0,3.0,0.0,44.0,2.0,76.0,0.63,4.0,79.0,111.0,70.0,187.0,216.0,144.0,26.0,79.0,47.0,1.0
77,Leon Britton,Swansea City,77,CDM,53.0,52,54,52.5,55,55,48,59,51,47,71.66666667,65,61,58,79,85,82,76,77,91,81,78,0,65.6,41,73,70,75,69,68.75,77,70,70,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,45.44,0.0,0.0,0.0,0.0,20.0,3.0,0.0,6.0,0.0,23.0,0.57,0.0,19.0,18.0,6.0,90.0,44.0,39.0,5.0,7.0,2.0,0.0
78,Darron Gibson,Everton,77,CM,58.0,52,64,69.16666667,67,57,80,63,82,66,74.66666667,77,61,71,81,82,76,72,55,61,76,74,0,72.6,65,70,76,76,76,73.5,72,72,76,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,387.0,32.25,0.0,11.0,0.0,1.0,35.0,4.0,0.0,12.0,0.0,13.0,0.85,1.0,14.0,18.0,10.0,58.0,24.0,28.0,4.0,7.0,4.0,0.0
79,Wayne Routledge,Swansea City,76,LM,72.5,71,74,66.33333333,72,69,55,63,68,71,63.66666667,74,61,28,72,73,74,83,82,87,77,73,0,37.2,34,39,30,37,46,62.25,36,71,69,73,3.0,0.11,1.0,2.0,0.0,0.0,0.0,19.0,9.0,0.47,0.0,4.0,1.0,561.0,20.78,3.0,82.0,0.28,0.0,22.0,1.0,0.0,28.0,9.0,22.0,0.68,3.0,15.0,19.0,8.0,100.0,73.0,157.0,26.0,12.0,43.0,1.0
80,Abdoulaye Doucoure,Watford,76,CM,70.5,65,76,67.33333333,73,70,74,45,75,67,63.16666667,68,41,42,74,79,75,75,60,64,78,68,0,70.4,66,72,69,74,71,77.25,75,71,83,80,1.0,0.05,0.0,1.0,0.0,0.0,0.0,22.0,8.0,0.36,0.0,1.0,0.0,833.0,41.65,0.0,5.0,0.2,0.0,24.0,4.0,0.0,12.0,0.0,17.0,0.76,7.0,21.0,22.0,6.0,142.0,50.0,72.0,14.0,14.0,21.0,0.0
81,James Ward-Prowse,Southampton,76,CM,68.5,69,68,62.16666667,61,53,70,64,74,51,82.66666667,88,86,79,80,81,82,71,74,79,78,73,0,60.8,57,65,55,65,62,68.75,67,68,76,64,4.0,0.13,0.0,2.0,2.0,0.0,0.0,42.0,17.0,0.4,0.0,5.0,4.0,966.0,32.2,0.0,143.0,0.27,3.0,24.0,4.0,0.0,27.0,1.0,29.0,0.66,9.0,19.0,32.0,16.0,137.0,74.0,136.0,6.0,21.0,52.0,0.0
82,Darren Fletcher,West Bromwich Albion,76,CM,54.0,55,53,65.66666667,57,65,73,62,77,60,68.83333333,72,65,47,79,82,68,65,62,59,75,80,0,81.0,83,84,79,81,78,74.0,80,70,76,70,2.0,0.05,0.0,1.0,1.0,0.0,0.0,20.0,7.0,0.35,1.0,1.0,3.0,1222.0,32.16,3.0,30.0,0.17,8.0,102.0,0.0,0.0,22.0,1.0,42.0,0.62,6.0,43.0,36.0,15.0,207.0,109.0,135.0,27.0,18.0,37.0,2.0
83,Leroy Fer,Swansea City,76,CAM,75.0,74,76,74.5,75,71,78,72,85,66,64.83333333,68,49,44,76,79,73,78,73,51,75,73,0,71.0,80,70,66,70,69,83.75,80,90,92,73,6.0,0.18,1.0,1.0,4.0,0.0,0.0,36.0,11.0,0.31,0.0,1.0,2.0,1230.0,36.18,1.0,13.0,0.31,5.0,98.0,9.0,0.0,48.0,1.0,55.0,0.75,8.0,23.0,48.0,33.0,181.0,220.0,175.0,39.0,77.0,42.0,0.0
84,Marc Albrighton,Leicester City,76,LM,79.0,80,78,68.0,70,68,67,60,71,72,75.0,83,82,71,68,72,74,77,79,76,76,69,0,46.2,42,56,41,47,45,69.0,73,60,82,61,2.0,0.06,0.0,2.0,0.0,0.0,1.0,21.0,7.0,0.33,0.0,1.0,6.0,874.0,26.48,8.0,212.0,0.2,3.0,56.0,5.0,0.0,21.0,2.0,50.0,0.8,5.0,35.0,30.0,6.0,225.0,125.0,168.0,48.0,7.0,30.0,0.0
85,Mathieu Flamini,Crystal Palace,76,CDM,65.5,67,64,68.16666667,69,60,68,61,78,73,67.33333333,68,65,56,71,76,68,68,62,72,73,74,0,74.6,70,77,74,76,76,76.25,83,70,77,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,112.0,11.2,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.5,0.0,5.0,7.0,2.0,13.0,3.0,3.0,0.0,1.0,0.0,0.0
86,Charlie Adam,Stoke City,76,CM,50.5,55,46,79.16666667,77,74,81,83,85,75,80.0,82,79,76,81,81,81,72,63,68,76,68,0,61.0,69,60,58,61,57,74.0,88,66,65,77,1.0,0.04,0.0,0.0,1.0,1.0,0.0,40.0,11.0,0.28,4.0,1.0,3.0,868.0,36.17,3.0,85.0,0.32,7.0,97.0,7.0,0.0,41.0,0.0,19.0,0.79,12.0,21.0,24.0,9.0,110.0,90.0,106.0,12.0,33.0,16.0,1.0
87,Pedro Obiang,West Ham United,76,CDM,68.5,69,68,61.16666667,62,50,63,58,74,60,69.5,68,56,62,77,79,75,72,72,62,78,67,0,73.2,70,74,70,78,74,74.5,70,74,76,78,1.0,0.05,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.22,1.0,0.0,1.0,911.0,41.41,1.0,8.0,0.0,5.0,68.0,7.0,0.0,27.0,0.0,61.0,0.89,2.0,33.0,29.0,18.0,135.0,143.0,99.0,21.0,22.0,24.0,1.0
88,James Morrison,West Bromwich Albion,75,CM,68.5,69,68,75.83333333,73,72,78,69,80,83,72.5,83,64,63,73,78,74,78,77,77,77,75,0,58.4,54,59,55,60,64,64.0,69,51,77,59,5.0,0.16,1.0,2.0,2.0,0.0,0.0,23.0,8.0,0.35,0.0,2.0,2.0,764.0,24.65,1.0,22.0,0.05,4.0,41.0,3.0,0.0,19.0,2.0,26.0,0.65,5.0,23.0,11.0,3.0,112.0,66.0,110.0,15.0,9.0,25.0,0.0
89,Andrew Surman,Bournemouth,75,CM,63.0,64,62,63.66666667,65,63,65,67,67,55,71.83333333,68,61,68,76,82,76,72,63,73,74,69,0,63.2,59,65,62,68,62,72.0,68,71,80,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.25,0.0,0.0,1.0,1318.0,59.91,0.0,6.0,0.33,5.0,105.0,1.0,1.0,17.0,0.0,15.0,0.53,2.0,43.0,38.0,22.0,128.0,58.0,75.0,12.0,17.0,29.0,0.0
90,Craig Gardner,West Bromwich Albion,75,CM,54.0,55,53,76.66666667,72,65,84,81,87,71,72.5,70,70,76,75,74,70,68,69,74,76,76,0,70.6,68,70,70,72,73,77.5,87,66,84,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,61.0,6.78,2.0,12.0,0.67,0.0,4.0,1.0,0.0,8.0,0.0,4.0,0.75,1.0,1.0,2.0,1.0,14.0,8.0,21.0,1.0,1.0,5.0,0.0
91,Oriol Romeu, Southampton,75,CDM,60.5,66,55,42.33333333,50,25,43,54,60,22,59.66666667,37,49,53,71,78,70,55,60,59,71,66,0,71.8,65,76,73,77,68,77.25,83,67,75,84,1.0,0.03,0.0,1.0,0.0,0.0,0.0,28.0,6.0,0.21,0.0,0.0,0.0,2070.0,59.14,1.0,3.0,0.67,1.0,100.0,11.0,0.0,66.0,1.0,117.0,0.74,10.0,89.0,66.0,32.0,304.0,253.0,230.0,29.0,75.0,80.0,0.0
92,Nathan Redmond,Southampton,75,RM,86.5,89,84,65.66666667,71,66,71,60,71,55,68.16666667,71,69,65,63,69,72,79,90,84,77,63,0,25.8,33,22,18,26,30,49.75,38,48,70,43,7.0,0.19,0.0,5.0,2.0,0.0,0.0,83.0,28.0,0.34,2.0,1.0,1.0,1136.0,30.7,6.0,64.0,0.23,6.0,54.0,2.0,1.0,38.0,14.0,39.0,0.67,22.0,15.0,9.0,1.0,182.0,170.0,182.0,72.0,14.0,19.0,0.0
93,Matt Phillips,West Bromwich Albion,75,RM,89.0,90,88,65.83333333,67,68,74,61,80,45,64.83333333,77,65,48,65,66,68,76,81,71,74,66,0,36.4,50,28,29,40,35,64.5,55,51,74,78,4.0,0.15,0.0,2.0,2.0,0.0,0.0,47.0,10.0,0.21,2.0,2.0,8.0,486.0,18.0,8.0,144.0,0.22,2.0,15.0,2.0,0.0,12.0,3.0,22.0,0.59,12.0,19.0,25.0,13.0,111.0,122.0,182.0,54.0,37.0,51.0,0.0
94,Joe Ledley,Crystal Palace,75,CM,66.5,66,67,65.33333333,67,64,67,71,70,53,69.83333333,68,72,53,72,77,77,67,64,72,73,76,0,70.2,73,70,72,71,65,77.75,70,79,84,78,1.0,0.06,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.33,0.0,0.0,0.0,563.0,31.28,0.0,7.0,0.14,1.0,19.0,1.0,0.0,7.0,0.0,25.0,0.6,1.0,28.0,26.0,10.0,45.0,52.0,48.0,5.0,12.0,18.0,2.0
95,Harry Arter,Bournemouth,75,CM,69.0,69,69,70.0,68,70,75,68,76,63,70.5,62,64,70,74,78,75,72,76,76,73,71,0,60.8,49,71,56,70,58,76.25,84,70,77,74,1.0,0.03,0.0,1.0,0.0,0.0,0.0,54.0,11.0,0.2,2.0,2.0,4.0,2004.0,57.26,2.0,21.0,0.19,7.0,167.0,11.0,1.0,34.0,0.0,83.0,0.75,14.0,48.0,31.0,7.0,196.0,158.0,145.0,25.0,5.0,8.0,1.0
96,Alex Iwobi,Arsenal,74,LM,77.5,78,77,59.5,69,63,54,56,67,48,59.0,52,50,40,57,80,75,83,77,76,83,74,0,28.8,42,24,29,26,23,59.75,46,50,70,73,3.0,0.12,1.0,2.0,0.0,0.0,0.0,39.0,11.0,0.28,0.0,2.0,3.0,896.0,34.46,2.0,18.0,0.22,6.0,19.0,1.0,0.0,7.0,3.0,19.0,0.79,17.0,8.0,4.0,1.0,98.0,64.0,68.0,28.0,4.0,10.0,0.0
97,Daniel Amartey,Leicester City,74,CDM,77.0,76,78,60.16666667,42,46,71,51,83,68,54.83333333,49,44,32,71,74,59,69,65,68,70,76,0,70.4,71,72,65,73,71,84.5,82,84,90,82,1.0,0.04,1.0,0.0,0.0,0.0,0.0,14.0,5.0,0.36,0.0,0.0,1.0,782.0,32.58,0.0,3.0,0.33,0.0,38.0,3.0,0.0,30.0,0.0,41.0,0.61,3.0,25.0,33.0,18.0,153.0,85.0,104.0,2.0,33.0,32.0,0.0
98,James McClean,West Bromwich Albion,74,LM,76.0,74,78,66.33333333,73,67,65,65,69,59,68.5,73,68,66,65,69,70,78,75,73,73,71,0,59.4,71,51,59,56,60,74.75,78,72,79,70,1.0,0.03,0.0,1.0,0.0,0.0,0.0,23.0,13.0,0.57,1.0,0.0,2.0,350.0,10.29,3.0,97.0,0.25,2.0,5.0,9.0,0.0,31.0,6.0,55.0,0.75,7.0,17.0,19.0,11.0,93.0,125.0,155.0,22.0,31.0,43.0,0.0
99,Kenedy,Watford,73,LM,82.5,86,79,65.83333333,68,64,66,67,75,55,62.66666667,63,60,54,65,68,66,78,85,62,77,66,0,50.6,66,52,43,48,44,62.0,34,69,75,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,14.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0
100,Jeff Hendrick,Burnley,73,CM,68.0,67,69,61.16666667,63,65,61,51,66,61,64.66666667,46,59,58,76,77,72,68,70,63,73,70,0,67.0,62,73,65,70,65,71.5,63,71,81,71,2.0,0.06,1.0,1.0,0.0,0.0,0.0,31.0,6.0,0.19,0.0,1.0,1.0,1006.0,31.44,0.0,17.0,0.24,0.0,67.0,6.0,1.0,43.0,4.0,33.0,0.55,12.0,39.0,33.0,17.0,159.0,124.0,161.0,23.0,35.0,42.0,0.0
101,Ben Watson,Watford,73,CM,59.0,64,54,68.16666667,64,67,64,78,73,63,75.16666667,74,80,76,74,76,71,68,71,75,72,73,0,67.0,58,72,64,72,69,70.75,61,74,78,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.25,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.5,0.0,4.0,1.0,0.0,6.0,3.0,5.0,1.0,0.0,2.0,0.0
102,Dan Gosling,Bournemouth,73,CM,65.0,66,64,68.33333333,77,64,73,61,71,64,66.5,68,57,57,71,73,73,66,65,72,71,69,0,66.6,61,70,66,68,68,71.0,76,67,77,64,2.0,0.07,0.0,0.0,1.0,0.0,0.0,16.0,4.0,0.25,0.0,0.0,0.0,825.0,30.56,1.0,7.0,0.29,1.0,45.0,6.0,0.0,25.0,1.0,50.0,0.8,3.0,28.0,18.0,9.0,100.0,109.0,120.0,15.0,14.0,32.0,0.0
103,Scott Arfield,Burnley,72,LM,71.0,73,69,65.5,69,69,66,62,69,58,68.0,70,62,65,68,71,72,74,74,78,72,65,0,62.8,63,65,62,64,60,67.0,42,72,84,70,1.0,0.03,0.0,0.0,1.0,0.0,0.0,44.0,7.0,0.16,0.0,2.0,0.0,621.0,20.03,1.0,70.0,0.46,4.0,23.0,3.0,0.0,37.0,3.0,36.0,0.78,18.0,33.0,27.0,11.0,135.0,88.0,173.0,15.0,23.0,41.0,0.0
104,Marc Pugh,Bournemouth,72,LM,74.5,75,74,64.0,70,68,66,64,67,49,65.5,70,60,69,59,68,67,77,84,66,73,60,0,41.6,66,37,30,44,31,66.75,60,63,78,66,2.0,0.1,0.0,2.0,0.0,0.0,0.0,18.0,6.0,0.33,0.0,2.0,2.0,497.0,23.67,2.0,40.0,0.1,2.0,15.0,1.0,0.0,7.0,1.0,22.0,0.59,5.0,12.0,21.0,10.0,55.0,94.0,90.0,31.0,21.0,17.0,0.0
105,Tom Carroll,Tottenham Hotspur,72,CM,68.5,69,68,58.83333333,67,57,56,56,59,58,70.83333333,60,66,65,76,83,75,65,79,74,75,69,0,51.0,46,55,53,54,47,48.25,47,45,68,33,1.0,0.06,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.22,1.0,0.0,2.0,796.0,44.22,1.0,38.0,0.32,0.0,55.0,1.0,0.0,13.0,0.0,30.0,0.77,3.0,20.0,8.0,2.0,81.0,56.0,70.0,12.0,5.0,10.0,0.0
